sujet,date,statut
Synthwave et imagerie rétro-futuriste spatiale en décoration,2025-10-12T16:11:57.416634,succès_2025-10-13_09:00
Guardians of the Galaxy : quand les couleurs cosmiques deviennent pop,2025-10-12T16:19:41.226944,échec_publication
Culture rave et nébuleuses fluorescentes dans la déco moderne,2025-10-12T16:23:17.575092,échec_publication
Interstellar et la nouvelle représentation des trous noirs,2025-10-12T16:27:12.139896,succès_2025-10-13_09:00
Science-fiction française et son influence sur l'art spatial européen,2025-10-12T16:32:04.935086,succès_2025-10-13_09:00
Mouvement Outrun : l'obsession pour les horizons cosmiques,2025-10-12T16:41:30.372107,succès_2025-10-13_09:00
Steampunk spatial : l'astronomie rétro réinventée en décoration,2025-10-12T16:48:53.656826,succès_2025-10-13_09:00
Influence de Moebius sur l'esthétique désertique-spatiale,2025-10-12T16:53:15.460124,échec_publication
Cosmic Horror : de Lovecraft aux intérieurs gothiques spatiaux,2025-10-12T16:57:11.553343,échec_publication
Mythologies stellaires africaines dans l'art contemporain,2025-10-12T17:00:29.733276,échec_publication
Science-fiction française et son influence sur l'art spatial européen,2025-10-12T17:38:22.666723,succès
Mouvement Outrun : l'obsession pour les horizons cosmiques,2025-10-13T06:58:49.863457,succès
Steampunk spatial : l'astronomie rétro réinventée en décoration,2025-10-13T07:04:34.644217,succès
Influence de Moebius sur l'esthétique désertique-spatiale,2025-10-13T07:09:10.602359,succès
Comment choisir une palette de couleurs neutres pour un Airbnb ?,2025-10-13T07:48:48.775953,succès
Quelles sont les meilleures idées de décoration minimaliste pour location saisonnière ?,2025-10-13T07:53:18.247636,succès
Les tableaux commémoratifs offerts après un deuil avaient-ils une fonction thérapeutique ?,2025-10-20T11:27:21.254613,succès
Comment les mécènes de la Renaissance offraient-ils des tableaux pour gagner le salut ?,2025-10-23T05:32:42.010218,succès
Pourquoi offrir un tableau d'un artiste vivant versus décédé change-t-il la signification ?,2025-10-27T05:33:48.687847,succès
Les tableaux offerts lors d'anniversaires royaux perpétuaient-ils le culte monarchique ?,2025-10-30T05:32:36.863414,succès
Comment les tableaux de voyage étaient-ils offerts comme souvenirs du Grand Tour ?,2025-11-03T05:33:42.688341,succès
Pourquoi offrir un tableau orientaliste au XIXe siècle reflétait-il le colonialisme ?,2025-11-06T05:32:52.054343,succès
Quelle est la symbolique d'offrir un diptyque ou triptyque versus un tableau unique ?,2025-11-10T05:33:06.749947,succès
Les galeries d'art facilitent-elles aujourd'hui l'acte d'offrir des tableaux avec des services dédiés ?,2025-11-13T05:32:53.333810,succès
Comment les tableaux érotiques étaient-ils discrètement offerts entre amants ?,2025-11-17T05:35:19.154599,succès
Pourquoi offrir un tableau lors d'une pendaison de crémaillère est-il devenu traditionnel ?,2025-11-20T05:34:08.506074,succès
Quelle est l'anthropologie du don appliquée aux tableaux dans les cultures non-occidentales ?,2025-11-24T05:33:22.970493,succès
Les tableaux offerts par des artistes à leurs modèles créaient-ils des liens sociaux particuliers ?,2025-11-27T05:32:43.691597,succès
Comment les musées reçoivent-ils et valorisent-ils les tableaux offerts par des donateurs ?,2025-12-01T05:32:37.809552,succès
Pourquoi offrir un tableau de son école artistique affirmait-il une affiliation esthétique ?,2025-12-04T05:33:02.564059,succès
Quelle différence entre offrir un tableau signé et un tableau anonyme historiquement ?,2025-12-08T05:32:56.619428,succès
Les tableaux offerts lors de réconciliations politiques avaient-ils une fonction pacificatrice ?,2025-12-11T05:32:22.130896,succès
Comment les tableaux de cabinet étaient-ils collectionnés et échangés comme cadeaux précieux ?,2025-12-15T05:35:31.105944,succès
Pourquoi offrir un tableau allégorique nécessitait-il une érudition partagée ?,2025-12-18T05:33:06.913338,succès
Quelle est la fiscalité et la législation entourant les tableaux offerts comme donations ?,2025-12-22T05:33:44.893877,succès
Les tableaux offerts en héritage anticipé avaient-ils des implications juridiques particulières ?,2025-12-25T05:33:11.736146,succès
